2023-10-07 19:07:39 status unpacked libaudit-common:all 1:3.0.9-1
2023-10-07 19:07:39 status half-configured libaudit-common:all 1:3.0.9-1
2023-10-07 19:07:39 status installed libaudit-common:all 1:3.0.9-1
2023-10-07 19:07:39 configure libsemanage-common:all 3.4-1 <none>
2023-10-07 19:07:39 status unpacked libsemanage-common:all 3.4-1
2023-10-07 19:07:39 status half-configured libsemanage-common:all 3.4-1
2023-10-07 19:07:39 status installed libsemanage-common:all 3.4-1
2023-10-07 19:07:39 configure debconf:all 1.5.82 <none>
2023-10-07 19:07:39 status unpacked debconf:all 1.5.82
2023-10-07 19:07:39 status half-configured debconf:all 1.5.82
2023-10-07 19:07:39 status installed debconf:all 1.5.82
2023-10-07 19:07:39 configure gcc-12-base:armhf 12.2.0-14 <none>
2023-10-07 19:07:39 status unpacked gcc-12-base:armhf 12.2.0-14
2023-10-07 19:07:39 status half-configured gcc-12-base:armhf 12.2.0-14
2023-10-07 19:07:39 status installed gcc-12-base:armhf 12.2.0-14
2023-10-07 19:07:39 configure tzdata:all 2023c-5 <none>
2023-10-07 19:07:39 status unpacked tzdata:all 2023c-5
2023-10-07 19:07:39 status half-configured tzdata:all 2023c-5
2023-10-07 19:07:39 status installed tzdata:all 2023c-5
2023-10-07 19:07:39 configure ncurses-base:all 6.4-4 <none>
2023-10-07 19:07:39 status unpacked ncurses-base:all 6.4-4
2023-10-07 19:07:39 status half-configured ncurses-base:all 6.4-4
2023-10-07 19:07:39 status installed ncurses-base:all 6.4-4
2023-10-07 19:07:40 configure init-system-helpers:all 1.65.2 <none>
2023-10-07 19:07:40 status unpacked init-system-helpers:all 1.65.2
2023-10-07 19:07:40 status half-configured init-system-helpers:all 1.65.2
2023-10-07 19:07:40 status installed init-system-helpers:all 1.65.2
2023-10-07 19:07:40 configure libgcc-s1:armhf 12.2.0-14 <none>
2023-10-07 19:07:40 status unpacked libgcc-s1:armhf 12.2.0-14
2023-10-07 19:07:40 status half-configured libgcc-s1:armhf 12.2.0-14
2023-10-07 19:07:40 status installed libgcc-s1:armhf 12.2.0-14
2023-10-07 19:07:40 configure libc6:armhf 2.36-9+deb12u2 <none>
2023-10-07 19:07:40 status unpacked libc6:armhf 2.36-9+deb12u2
2023-10-07 19:07:40 status half-configured libc6:armhf 2.36-9+deb12u2
2023-10-07 19:07:40 status installed libc6:armhf 2.36-9+deb12u2
